Dish Number,재료명,재료,이미지1,이미지2,이미지3,이미지4,이미지5,이미지6,설명1,설명2,설명3,설명4,설명5,설명6,알러지 정보,칼로리,
36,계란 김치 감자전,"계란, 김치, 감자, 소금, 후추, 마늘, 대파, 양파",http://kkms4001.iptime.org:45211/static/36. 계란 김치 감자전/1.webp,http://kkms4001.iptime.org:45211/static/36. 계란 김치 감자전/2.webp,http://kkms4001.iptime.org:45211/static/36. 계란 김치 감자전/3.webp,http://kkms4001.iptime.org:45211/static/36. 계란 김치 감자전/4.webp,http://kkms4001.iptime.org:45211/static/36. 계란 김치 감자전/5.webp,http://kkms4001.iptime.org:45211/static/36. 계란 김치 감자전/6.webp,"김치를 잘게 썰고, 감자는 껍질을 벗긴 후 강판에 곱게 갈아줍니다.",큰 그릇에 계란을 넣고 소금과 후추를 약간 넣어 고루 섞어줍니다.,계란 그릇에 잘게 썬 김치와 갈아 놓은 감자를 넣고 고루 섞어줍니다.,팬을 중불로 예열한 뒤 식용유를 약간 두릅니다.,팬에 반죽을 한 숟가락씩 올려 앞뒤로 노릇하게 부칩니다.,구워진 전을 접시에 담아 내면 완성입니다.,계란 알러지,약 150~200kcal,"INSERT INTO test_recipe VALUES (36, '계란 김치 감자전', '계란, 김치, 감자, 소금, 후추, 마늘, 대파, 양파', 'http://kkms4001.iptime.org:45211/static/36. 계란 김치 감자전/1.webp', 'http://kkms4001.iptime.org:45211/static/36. 계란 김치 감자전/2.webp', 'http://kkms4001.iptime.org:45211/static/36. 계란 김치 감자전/3.webp', 'http://kkms4001.iptime.org:45211/static/36. 계란 김치 감자전/4.webp', 'http://kkms4001.iptime.org:45211/static/36. 계란 김치 감자전/5.webp', 'http://kkms4001.iptime.org:45211/static/36. 계란 김치 감자전/6.webp', '김치를 잘게 썰고, 감자는 껍질을 벗긴 후 강판에 곱게 갈아줍니다.', '큰 그릇에 계란을 넣고 소금과 후추를 약간 넣어 고루 섞어줍니다.', '계란 그릇에 잘게 썬 김치와 갈아 놓은 감자를 넣고 고루 섞어줍니다.', '팬을 중불로 예열한 뒤 식용유를 약간 두릅니다.', '팬에 반죽을 한 숟가락씩 올려 앞뒤로 노릇하게 부칩니다.', '구워진 전을 접시에 담아 내면 완성입니다.', '계란 알러지', '약 150~200kcal');"
37,계란 대파 김밥,"계란, 대파, 김, 밥, 소금, 양파, 마늘",http://kkms4001.iptime.org:45211/static/37. 계란 대파 김밥/1.webp,http://kkms4001.iptime.org:45211/static/37. 계란 대파 김밥/2.webp,http://kkms4001.iptime.org:45211/static/37. 계란 대파 김밥/3.webp,http://kkms4001.iptime.org:45211/static/37. 계란 대파 김밥/4.webp,http://kkms4001.iptime.org:45211/static/37. 계란 대파 김밥/5.webp,http://kkms4001.iptime.org:45211/static/37. 계란 대파 김밥/6.webp,"계란, 다진 대파, 김, 밥, 소금을 준비합니다. 김밥 말기에 필요한 김발도 준비합니다.","계란을 풀어 소금으로 간을 하고 팬에 얇게 부칩니다. 익힌 후 식히고, 길게 잘라 김밥 속재료로 준비합니다.",밥에 다진 대파와 소금을 약간 넣고 골고루 섞어 밑간을 해줍니다.,김 위에 밑간한 밥을 고르게 펴줍니다. 밥은 약 1cm 두께로 얇게 깔아주세요.,김 위에 펴 놓은 밥의 중간에 계란 지단을 올려줍니다.,김발을 이용해 밥과 계란 지단이 잘 감싸지도록 김밥을 단단히 말아줍니다. 완성된 김밥을 먹기 좋게 썰어 냅니다.,계란 알러지,약 250-300 kcal,"INSERT INTO test_recipe VALUES (37, '계란 대파 김밥', '계란, 대파, 김, 밥, 소금, 양파, 마늘', 'http://kkms4001.iptime.org:45211/static/37. 계란 대파 김밥/1.webp', 'http://kkms4001.iptime.org:45211/static/37. 계란 대파 김밥/2.webp', 'http://kkms4001.iptime.org:45211/static/37. 계란 대파 김밥/3.webp', 'http://kkms4001.iptime.org:45211/static/37. 계란 대파 김밥/4.webp', 'http://kkms4001.iptime.org:45211/static/37. 계란 대파 김밥/5.webp', 'http://kkms4001.iptime.org:45211/static/37. 계란 대파 김밥/6.webp', '계란, 다진 대파, 김, 밥, 소금을 준비합니다. 김밥 말기에 필요한 김발도 준비합니다.', '계란을 풀어 소금으로 간을 하고 팬에 얇게 부칩니다. 익힌 후 식히고, 길게 잘라 김밥 속재료로 준비합니다.', '밥에 다진 대파와 소금을 약간 넣고 골고루 섞어 밑간을 해줍니다.', '김 위에 밑간한 밥을 고르게 펴줍니다. 밥은 약 1cm 두께로 얇게 깔아주세요.', '김 위에 펴 놓은 밥의 중간에 계란 지단을 올려줍니다.', '김발을 이용해 밥과 계란 지단이 잘 감싸지도록 김밥을 단단히 말아줍니다. 완성된 김밥을 먹기 좋게 썰어 냅니다.', '계란 알러지', '약 250-300 kcal');"
38,계란 양파 수프,"계란, 양파, 소금, 후추, 물, 감자",http://kkms4001.iptime.org:45211/static/38. 계란 양파 수프/1.webp,http://kkms4001.iptime.org:45211/static/38. 계란 양파 수프/2.webp,http://kkms4001.iptime.org:45211/static/38. 계란 양파 수프/3.webp,http://kkms4001.iptime.org:45211/static/38. 계란 양파 수프/4.webp,http://kkms4001.iptime.org:45211/static/38. 계란 양파 수프/5.webp,http://kkms4001.iptime.org:45211/static/38. 계란 양파 수프/6.webp,"양파를 얇게 슬라이스하고, 계란을 풀어 준비합니다. 또한 육수(치킨 스톡 또는 채소 육수)를 준비합니다.",팬에 약간의 버터나 올리브 오일을 두르고 양파를 넣어 중불에서 천천히 볶아줍니다. 양파가 갈색으로 캐러멜화될 때까지 볶아주세요.,캐러멜화된 양파에 준비된 육수를 부어 끓입니다. 이때 소금과 후추로 간을 맞춥니다.,"수프가 끓기 시작하면, 풀어놓은 계란을 천천히 부어가며 수프에 저어줍니다. 계란이 고르게 퍼져 익도록 합니다.","계란이 익을 때까지 약한 불에서 끓이며, 필요한 경우 소금과 후추로 간을 더해줍니다.","완성된 수프를 그릇에 담아내고, 기호에 따라 다진 파슬리나 그라나 파다노 치즈로 장식합니다.","계란 알러지,유제품(버터 사용 시)",약 150-200 kcal,"INSERT INTO test_recipe VALUES (38, '계란 양파 수프', '계란, 양파, 소금, 후추, 물, 감자', 'http://kkms4001.iptime.org:45211/static/38. 계란 양파 수프/1.webp', 'http://kkms4001.iptime.org:45211/static/38. 계란 양파 수프/2.webp', 'http://kkms4001.iptime.org:45211/static/38. 계란 양파 수프/3.webp', 'http://kkms4001.iptime.org:45211/static/38. 계란 양파 수프/4.webp', 'http://kkms4001.iptime.org:45211/static/38. 계란 양파 수프/5.webp', 'http://kkms4001.iptime.org:45211/static/38. 계란 양파 수프/6.webp', '양파를 얇게 슬라이스하고, 계란을 풀어 준비합니다. 또한 육수(치킨 스톡 또는 채소 육수)를 준비합니다.', '팬에 약간의 버터나 올리브 오일을 두르고 양파를 넣어 중불에서 천천히 볶아줍니다. 양파가 갈색으로 캐러멜화될 때까지 볶아주세요.', '캐러멜화된 양파에 준비된 육수를 부어 끓입니다. 이때 소금과 후추로 간을 맞춥니다.', '수프가 끓기 시작하면, 풀어놓은 계란을 천천히 부어가며 수프에 저어줍니다. 계란이 고르게 퍼져 익도록 합니다.', '계란이 익을 때까지 약한 불에서 끓이며, 필요한 경우 소금과 후추로 간을 더해줍니다.', '완성된 수프를 그릇에 담아내고, 기호에 따라 다진 파슬리나 그라나 파다노 치즈로 장식합니다.', '계란 알러지,유제품(버터 사용 시)', '약 150-200 kcal');"
39,계란 마늘 볶음밥,"계란, 마늘, 밥, 소금, 참기름, 대파",http://kkms4001.iptime.org:45211/static/39. 계란 마늘 볶음밥/1.webp,http://kkms4001.iptime.org:45211/static/39. 계란 마늘 볶음밥/2.webp,http://kkms4001.iptime.org:45211/static/39. 계란 마늘 볶음밥/3.webp,http://kkms4001.iptime.org:45211/static/39. 계란 마늘 볶음밥/4.webp,http://kkms4001.iptime.org:45211/static/39. 계란 마늘 볶음밥/5.webp,http://kkms4001.iptime.org:45211/static/39. 계란 마늘 볶음밥/6.webp,깨끗이 씻은 마늘을 껍질을 벗기고 잘게 다집니다. 마늘이 고르게 다져지도록 집중하세요.,그릇에 계란을 깨고 포크나 젓가락으로 노른자와 흰자가 잘 섞이도록 저어줍니다.,"팬에 적당한 양의 기름을 두른 후, 다진 마늘을 넣고 중불에서 황금빛이 날 때까지 볶습니다. 마늘이 타지 않도록 주의하세요.",황금빛으로 볶아진 마늘 위에 푼 계란을 부어줍니다. 계란이 반쯤 익을 때까지 빠르게 저어줍니다.,"찬밥을 팬에 넣고, 계란과 마늘과 함께 잘 섞이도록 볶습니다. 밥알이 고르게 코팅되도록 주의하여 볶아줍니다.","볶음밥을 접시에 담고, 파슬리 등으로 장식하여 맛있게 서빙합니다.","계란 알러지,마늘 알러지",약 400kcal,"INSERT INTO test_recipe VALUES (39, '계란 마늘 볶음밥', '계란, 마늘, 밥, 소금, 참기름, 대파', 'http://kkms4001.iptime.org:45211/static/39. 계란 마늘 볶음밥/1.webp', 'http://kkms4001.iptime.org:45211/static/39. 계란 마늘 볶음밥/2.webp', 'http://kkms4001.iptime.org:45211/static/39. 계란 마늘 볶음밥/3.webp', 'http://kkms4001.iptime.org:45211/static/39. 계란 마늘 볶음밥/4.webp', 'http://kkms4001.iptime.org:45211/static/39. 계란 마늘 볶음밥/5.webp', 'http://kkms4001.iptime.org:45211/static/39. 계란 마늘 볶음밥/6.webp', '깨끗이 씻은 마늘을 껍질을 벗기고 잘게 다집니다. 마늘이 고르게 다져지도록 집중하세요.', '그릇에 계란을 깨고 포크나 젓가락으로 노른자와 흰자가 잘 섞이도록 저어줍니다.', '팬에 적당한 양의 기름을 두른 후, 다진 마늘을 넣고 중불에서 황금빛이 날 때까지 볶습니다. 마늘이 타지 않도록 주의하세요.', '황금빛으로 볶아진 마늘 위에 푼 계란을 부어줍니다. 계란이 반쯤 익을 때까지 빠르게 저어줍니다.', '찬밥을 팬에 넣고, 계란과 마늘과 함께 잘 섞이도록 볶습니다. 밥알이 고르게 코팅되도록 주의하여 볶아줍니다.', '볶음밥을 접시에 담고, 파슬리 등으로 장식하여 맛있게 서빙합니다.', '계란 알러지,마늘 알러지', '약 400kcal');"
40,햄 김치볶음밥,"햄, 김치, 밥, 간장, 참기름, 양파, 대파, 마늘",http://kkms4001.iptime.org:45211/static/40. 햄 김치볶음밥/1.webp,http://kkms4001.iptime.org:45211/static/40. 햄 김치볶음밥/2.webp,http://kkms4001.iptime.org:45211/static/40. 햄 김치볶음밥/3.webp,http://kkms4001.iptime.org:45211/static/40. 햄 김치볶음밥/4.webp,http://kkms4001.iptime.org:45211/static/40. 햄 김치볶음밥/5.webp,http://kkms4001.iptime.org:45211/static/40. 햄 김치볶음밥/6.webp,"햄과 김치를 먹기 좋게 작은 크기로 썰고, 파와 마늘을 다져 준비합니다. 밥, 참기름, 간장, 후추, 고춧가루도 함께 준비합니다.",팬에 약간의 기름을 두르고 다진 파와 마늘을 넣어 중불에서 볶아 향을 냅니다.,준비한 햄과 김치를 팬에 넣고 고르게 볶아줍니다. 김치에서 풍미가 나고 햄이 노릇해질 때까지 볶습니다.,"밥을 팬에 넣고 김치와 햄이 잘 섞이도록 고루 볶아줍니다. 간장과 후추, 고춧가루를 추가해 간을 맞춥니다.",볶음밥이 고르게 섞이면 참기름을 살짝 넣고 마지막으로 한번 더 볶아줍니다.,"완성된 햄 김치볶음밥을 접시에 담아 기호에 따라 계란 프라이를 올리거나, 참깨를 뿌려 장식합니다.","대두(간장에 포함될 수 있음),돼지고기(햄 성분에 따라 다름)",약 450-500 kcal,"INSERT INTO test_recipe VALUES (40, '햄 김치볶음밥', '햄, 김치, 밥, 간장, 참기름, 양파, 대파, 마늘', 'http://kkms4001.iptime.org:45211/static/40. 햄 김치볶음밥/1.webp', 'http://kkms4001.iptime.org:45211/static/40. 햄 김치볶음밥/2.webp', 'http://kkms4001.iptime.org:45211/static/40. 햄 김치볶음밥/3.webp', 'http://kkms4001.iptime.org:45211/static/40. 햄 김치볶음밥/4.webp', 'http://kkms4001.iptime.org:45211/static/40. 햄 김치볶음밥/5.webp', 'http://kkms4001.iptime.org:45211/static/40. 햄 김치볶음밥/6.webp', '햄과 김치를 먹기 좋게 작은 크기로 썰고, 파와 마늘을 다져 준비합니다. 밥, 참기름, 간장, 후추, 고춧가루도 함께 준비합니다.', '팬에 약간의 기름을 두르고 다진 파와 마늘을 넣어 중불에서 볶아 향을 냅니다.', '준비한 햄과 김치를 팬에 넣고 고르게 볶아줍니다. 김치에서 풍미가 나고 햄이 노릇해질 때까지 볶습니다.', '밥을 팬에 넣고 김치와 햄이 잘 섞이도록 고루 볶아줍니다. 간장과 후추, 고춧가루를 추가해 간을 맞춥니다.', '볶음밥이 고르게 섞이면 참기름을 살짝 넣고 마지막으로 한번 더 볶아줍니다.', '완성된 햄 김치볶음밥을 접시에 담아 기호에 따라 계란 프라이를 올리거나, 참깨를 뿌려 장식합니다.', '대두(간장에 포함될 수 있음),돼지고기(햄 성분에 따라 다름)', '약 450-500 kcal');"
41,햄 떡볶이,"햄, 떡, 고추장, 설탕, 간장, 마늘, 대파, 양파",http://kkms4001.iptime.org:45211/static/41. 햄 떡볶이/1.webp,http://kkms4001.iptime.org:45211/static/41. 햄 떡볶이/2.webp,http://kkms4001.iptime.org:45211/static/41. 햄 떡볶이/3.webp,http://kkms4001.iptime.org:45211/static/41. 햄 떡볶이/4.webp,http://kkms4001.iptime.org:45211/static/41. 햄 떡볶이/5.webp,http://kkms4001.iptime.org:45211/static/41. 햄 떡볶이/6.webp,"떡, 햄, 양파, 대파, 고추장, 간장, 설탕, 고춧가루, 물을 준비합니다. 떡은 찬물에 불려 놓습니다.","고추장, 간장, 설탕, 고춧가루를 섞어 떡볶이 양념장을 만듭니다.","햄과 양파, 대파를 먹기 좋은 크기로 썰어 준비합니다.",팬에 물과 양념장을 넣고 떡을 함께 끓입니다. 떡이 부드러워질 때까지 중불에서 저어가며 끓입니다.,준비한 햄과 채소를 팬에 넣고 잘 섞어가며 끓입니다. 재료들이 양념에 잘 어우러지도록 끓입니다.,"떡과 햄, 채소가 잘 익으면 떡볶이를 접시에 담아 통깨나 참기름을 살짝 뿌려 완성합니다.","대두(간장), 밀(고추장 및 햄에 포함될 수 있음), 돼지고기(햄)",약 400-450 kcal,"INSERT INTO test_recipe VALUES (41, '햄 떡볶이', '햄, 떡, 고추장, 설탕, 간장, 마늘, 대파, 양파', 'http://kkms4001.iptime.org:45211/static/41. 햄 떡볶이/1.webp', 'http://kkms4001.iptime.org:45211/static/41. 햄 떡볶이/2.webp', 'http://kkms4001.iptime.org:45211/static/41. 햄 떡볶이/3.webp', 'http://kkms4001.iptime.org:45211/static/41. 햄 떡볶이/4.webp', 'http://kkms4001.iptime.org:45211/static/41. 햄 떡볶이/5.webp', 'http://kkms4001.iptime.org:45211/static/41. 햄 떡볶이/6.webp', '떡, 햄, 양파, 대파, 고추장, 간장, 설탕, 고춧가루, 물을 준비합니다. 떡은 찬물에 불려 놓습니다.', '고추장, 간장, 설탕, 고춧가루를 섞어 떡볶이 양념장을 만듭니다.', '햄과 양파, 대파를 먹기 좋은 크기로 썰어 준비합니다.', '팬에 물과 양념장을 넣고 떡을 함께 끓입니다. 떡이 부드러워질 때까지 중불에서 저어가며 끓입니다.', '준비한 햄과 채소를 팬에 넣고 잘 섞어가며 끓입니다. 재료들이 양념에 잘 어우러지도록 끓입니다.', '떡과 햄, 채소가 잘 익으면 떡볶이를 접시에 담아 통깨나 참기름을 살짝 뿌려 완성합니다.', '대두(간장), 밀(고추장 및 햄에 포함될 수 있음), 돼지고기(햄)', '약 400-450 kcal');"
42,햄 대파볶음,"햄, 대파, 간장, 소금, 후추, 마늘",http://kkms4001.iptime.org:45211/static/42. 햄 대파볶음/1.webp,http://kkms4001.iptime.org:45211/static/42. 햄 대파볶음/2.webp,http://kkms4001.iptime.org:45211/static/42. 햄 대파볶음/3.webp,http://kkms4001.iptime.org:45211/static/42. 햄 대파볶음/4.webp,http://kkms4001.iptime.org:45211/static/42. 햄 대파볶음/5.webp,http://kkms4001.iptime.org:45211/static/42. 햄 대파볶음/6.webp,"햄과 대파를 준비합니다. 햄은 먹기 좋은 크기로 자르고, 대파는 어슷썰기 합니다. 마늘, 간장, 설탕, 후추, 참기름도 준비합니다.","팬을 중불로 달군 후, 약간의 기름을 두르고 햄을 넣어 노릇하게 볶아줍니다.",다진 마늘을 넣어 볶다가 대파를 추가하여 향이 나도록 볶아줍니다.,간장과 설탕을 넣어 전체 재료에 간이 배도록 고루 섞어줍니다.,약간의 참기름을 넣어 향을 더해줍니다. 후추로 간을 맞춥니다.,접시에 담아내고 참깨나 추가 대파로 장식하여 마무리합니다.,"대두(간장에 포함될 수 있음),돼지고기(햄 성분에 따라 다름)",약 250-300 kcal,"INSERT INTO test_recipe VALUES (42, '햄 대파볶음', '햄, 대파, 간장, 소금, 후추, 마늘', 'http://kkms4001.iptime.org:45211/static/42. 햄 대파볶음/1.webp', 'http://kkms4001.iptime.org:45211/static/42. 햄 대파볶음/2.webp', 'http://kkms4001.iptime.org:45211/static/42. 햄 대파볶음/3.webp', 'http://kkms4001.iptime.org:45211/static/42. 햄 대파볶음/4.webp', 'http://kkms4001.iptime.org:45211/static/42. 햄 대파볶음/5.webp', 'http://kkms4001.iptime.org:45211/static/42. 햄 대파볶음/6.webp', '햄과 대파를 준비합니다. 햄은 먹기 좋은 크기로 자르고, 대파는 어슷썰기 합니다. 마늘, 간장, 설탕, 후추, 참기름도 준비합니다.', '팬을 중불로 달군 후, 약간의 기름을 두르고 햄을 넣어 노릇하게 볶아줍니다.', '다진 마늘을 넣어 볶다가 대파를 추가하여 향이 나도록 볶아줍니다.', '간장과 설탕을 넣어 전체 재료에 간이 배도록 고루 섞어줍니다.', '약간의 참기름을 넣어 향을 더해줍니다. 후추로 간을 맞춥니다.', '접시에 담아내고 참깨나 추가 대파로 장식하여 마무리합니다.', '대두(간장에 포함될 수 있음),돼지고기(햄 성분에 따라 다름)', '약 250-300 kcal');"
43,햄 양파덮밥,"햄, 양파, 간장, 설탕, 밥, 대파, 마늘",http://kkms4001.iptime.org:45211/static/43. 햄 양파덮밥/1.webp,http://kkms4001.iptime.org:45211/static/43. 햄 양파덮밥/2.webp,http://kkms4001.iptime.org:45211/static/43. 햄 양파덮밥/3.webp,http://kkms4001.iptime.org:45211/static/43. 햄 양파덮밥/4.webp,http://kkms4001.iptime.org:45211/static/43. 햄 양파덮밥/5.webp,http://kkms4001.iptime.org:45211/static/43. 햄 양파덮밥/6.webp,"햄과 양파를 준비하고 햄은 먹기 좋은 크기로, 양파는 얇게 슬라이스합니다. 간장, 설탕, 후추, 물, 그리고 밥을 준비합니다.",팬에 기름을 약간 두르고 중불에서 햄을 넣어 노릇하게 볶아줍니다.,팬에 양파를 넣고 햄과 함께 볶아줍니다. 양파가 부드럽게 익을 때까지 계속 저어줍니다.,"간장, 설탕, 물을 팬에 넣고 잘 섞어가며 끓입니다. 모든 재료가 양념에 고르게 코팅되도록 합니다.",양념이 자작해지도록 약한 불에서 몇 분 더 조립니다. 후추로 간을 맞춥니다.,"완성된 햄 양파 볶음을 밥 위에 얹어 접시에 담고, 기호에 따라 참깨나 쪽파를 뿌려 마무리합니다.","대두(간장에 포함될 수 있음),돼지고기(햄 성분에 따라 다름)",약 400-450 kcal,"INSERT INTO test_recipe VALUES (43, '햄 양파덮밥', '햄, 양파, 간장, 설탕, 밥, 대파, 마늘', 'http://kkms4001.iptime.org:45211/static/43. 햄 양파덮밥/1.webp', 'http://kkms4001.iptime.org:45211/static/43. 햄 양파덮밥/2.webp', 'http://kkms4001.iptime.org:45211/static/43. 햄 양파덮밥/3.webp', 'http://kkms4001.iptime.org:45211/static/43. 햄 양파덮밥/4.webp', 'http://kkms4001.iptime.org:45211/static/43. 햄 양파덮밥/5.webp', 'http://kkms4001.iptime.org:45211/static/43. 햄 양파덮밥/6.webp', '햄과 양파를 준비하고 햄은 먹기 좋은 크기로, 양파는 얇게 슬라이스합니다. 간장, 설탕, 후추, 물, 그리고 밥을 준비합니다.', '팬에 기름을 약간 두르고 중불에서 햄을 넣어 노릇하게 볶아줍니다.', '팬에 양파를 넣고 햄과 함께 볶아줍니다. 양파가 부드럽게 익을 때까지 계속 저어줍니다.', '간장, 설탕, 물을 팬에 넣고 잘 섞어가며 끓입니다. 모든 재료가 양념에 고르게 코팅되도록 합니다.', '양념이 자작해지도록 약한 불에서 몇 분 더 조립니다. 후추로 간을 맞춥니다.', '완성된 햄 양파 볶음을 밥 위에 얹어 접시에 담고, 기호에 따라 참깨나 쪽파를 뿌려 마무리합니다.', '대두(간장에 포함될 수 있음),돼지고기(햄 성분에 따라 다름)', '약 400-450 kcal');"
44,햄 마늘 구이,"햄, 마늘, 소금, 후추, 대파, 양파",http://kkms4001.iptime.org:45211/static/44. 햄 마늘 구이/1.webp,http://kkms4001.iptime.org:45211/static/44. 햄 마늘 구이/2.webp,http://kkms4001.iptime.org:45211/static/44. 햄 마늘 구이/3.webp,http://kkms4001.iptime.org:45211/static/44. 햄 마늘 구이/4.webp,http://kkms4001.iptime.org:45211/static/44. 햄 마늘 구이/5.webp,http://kkms4001.iptime.org:45211/static/44. 햄 마늘 구이/6.webp,"햄을 먹기 좋은 크기로 자르고, 마늘은 얇게 슬라이스합니다. 올리브 오일, 소금, 후추도 준비합니다.","팬을 중불로 예열한 후 약간의 올리브 오일을 두르고, 햄을 넣어 겉이 노릇해질 때까지 구워줍니다.",팬에 슬라이스한 마늘을 추가하여 함께 볶습니다. 마늘이 갈색이 되고 향이 올라올 때까지 천천히 볶아줍니다.,"소금과 후추로 간을 맞추고, 모든 재료가 고루 섞이도록 저어줍니다.",더 깊은 풍미를 원한다면 참기름이나 약간의 버터를 추가하여 볶아줍니다.,햄과 마늘을 접시에 담고 기호에 따라 파슬리나 참깨를 뿌려 마무리합니다.,돼지고기(햄 성분에 따라 다름),약 300-350 kcal,"INSERT INTO test_recipe VALUES (44, '햄 마늘 구이', '햄, 마늘, 소금, 후추, 대파, 양파', 'http://kkms4001.iptime.org:45211/static/44. 햄 마늘 구이/1.webp', 'http://kkms4001.iptime.org:45211/static/44. 햄 마늘 구이/2.webp', 'http://kkms4001.iptime.org:45211/static/44. 햄 마늘 구이/3.webp', 'http://kkms4001.iptime.org:45211/static/44. 햄 마늘 구이/4.webp', 'http://kkms4001.iptime.org:45211/static/44. 햄 마늘 구이/5.webp', 'http://kkms4001.iptime.org:45211/static/44. 햄 마늘 구이/6.webp', '햄을 먹기 좋은 크기로 자르고, 마늘은 얇게 슬라이스합니다. 올리브 오일, 소금, 후추도 준비합니다.', '팬을 중불로 예열한 후 약간의 올리브 오일을 두르고, 햄을 넣어 겉이 노릇해질 때까지 구워줍니다.', '팬에 슬라이스한 마늘을 추가하여 함께 볶습니다. 마늘이 갈색이 되고 향이 올라올 때까지 천천히 볶아줍니다.', '소금과 후추로 간을 맞추고, 모든 재료가 고루 섞이도록 저어줍니다.', '더 깊은 풍미를 원한다면 참기름이나 약간의 버터를 추가하여 볶아줍니다.', '햄과 마늘을 접시에 담고 기호에 따라 파슬리나 참깨를 뿌려 마무리합니다.', '돼지고기(햄 성분에 따라 다름)', '약 300-350 kcal');"
45,햄 김치 감자조림,"햄, 김치, 감자, 간장, 고춧가루, 마늘, 대파, 떡, 양파",http://kkms4001.iptime.org:45211/static/45. 햄 김치 감자조림/1.webp,http://kkms4001.iptime.org:45211/static/45. 햄 김치 감자조림/2.webp,http://kkms4001.iptime.org:45211/static/45. 햄 김치 감자조림/3.webp,http://kkms4001.iptime.org:45211/static/45. 햄 김치 감자조림/4.webp,http://kkms4001.iptime.org:45211/static/45. 햄 김치 감자조림/5.webp,http://kkms4001.iptime.org:45211/static/45. 햄 김치 감자조림/6.webp,"햄, 김치, 감자를 준비합니다. 감자는 껍질을 벗겨 먹기 좋은 크기로 자르고, 햄도 적당한 크기로 썰어줍니다. 간장, 설탕, 고춧가루, 물, 참기름도 준비합니다.",팬에 감자와 물을 넣고 중불에서 부드러워질 때까지 익혀줍니다. 감자가 익으면 물을 버리지 않고 남겨둡니다.,익은 감자에 햄과 김치를 넣고 함께 볶아줍니다. 김치에서 나오는 맛이 잘 배어들도록 볶아줍니다.,"간장, 설탕, 고춧가루를 넣어 감자와 햄, 김치에 양념이 고루 배이도록 섞어가며 조립니다.","중약불로 줄이고, 재료들이 양념을 충분히 흡수하고 소스가 자작해질 때까지 끓입니다.","불을 끄고 참기름을 살짝 둘러 풍미를 더해줍니다. 접시에 담고, 기호에 따라 쪽파나 참깨를 뿌려 마무리합니다.","대두(간장에 포함될 수 있음),돼지고기(햄 성분에 따라 다름)",약 400-450 kcal,"INSERT INTO test_recipe VALUES (45, '햄 김치 감자조림', '햄, 김치, 감자, 간장, 고춧가루, 마늘, 대파, 떡, 양파', 'http://kkms4001.iptime.org:45211/static/45. 햄 김치 감자조림/1.webp', 'http://kkms4001.iptime.org:45211/static/45. 햄 김치 감자조림/2.webp', 'http://kkms4001.iptime.org:45211/static/45. 햄 김치 감자조림/3.webp', 'http://kkms4001.iptime.org:45211/static/45. 햄 김치 감자조림/4.webp', 'http://kkms4001.iptime.org:45211/static/45. 햄 김치 감자조림/5.webp', 'http://kkms4001.iptime.org:45211/static/45. 햄 김치 감자조림/6.webp', '햄, 김치, 감자를 준비합니다. 감자는 껍질을 벗겨 먹기 좋은 크기로 자르고, 햄도 적당한 크기로 썰어줍니다. 간장, 설탕, 고춧가루, 물, 참기름도 준비합니다.', '팬에 감자와 물을 넣고 중불에서 부드러워질 때까지 익혀줍니다. 감자가 익으면 물을 버리지 않고 남겨둡니다.', '익은 감자에 햄과 김치를 넣고 함께 볶아줍니다. 김치에서 나오는 맛이 잘 배어들도록 볶아줍니다.', '간장, 설탕, 고춧가루를 넣어 감자와 햄, 김치에 양념이 고루 배이도록 섞어가며 조립니다.', '중약불로 줄이고, 재료들이 양념을 충분히 흡수하고 소스가 자작해질 때까지 끓입니다.', '불을 끄고 참기름을 살짝 둘러 풍미를 더해줍니다. 접시에 담고, 기호에 따라 쪽파나 참깨를 뿌려 마무리합니다.', '대두(간장에 포함될 수 있음),돼지고기(햄 성분에 따라 다름)', '약 400-450 kcal');"
